Exercise,Options,Answer
She wants to take part in the ______ cleaning.,"beach, beaches",beach
She wants to take part in the beach ______.,"cleaning, cleanings",cleaning
He is a passionate ______.,"activist, activists",activist
______ went well.,"Exams, Examss",Exams
We are from the same ______.,"batch, batches",batch
She hates ______ reunions.,"family, families",family
She hates family ______.,"reunions, reunion",reunions
They are ______ of my parents.,"friends, friend",friends
They are friends of my ______.,"parents, parent",parents
My ______ works at the post office.,"father, fathers",father
My father works at the ______ office.,"post, posts",post
My father works at the post ______.,"office, offices",office
My ______ went to the market.,"mother, mothers",mother
My mother went to the ______.,"market, markets",market
He has two ______: an older brother and a younger brother.,"brothers, brother",brothers
He has two ______s: an older ______ and a younger ______.,"brother, brothers",brother
He has two ______s: an older ______ and a younger ______.,"brother, brothers",brother
He has two ______ : an older sister and a younger sister.,"sisters, sister",sisters
He has two ______s : an older ______ and a younger ______.,"sister, sisters",sister
He has two ______s : an older ______ and a younger ______.,"sister, sisters",sister
My ______ lives alone now.,"son, sons",son
We have a good ______ with our daughter.,"relationship, relationships",relationship
We have a good relationship with our ______.,"daughter, daughters",daughter
"It is my ______, my father's brother.","uncle, uncles",uncle
"It is my uncle, my ______'s brother.","father, fathers",father
"It is my uncle, my father's ______.","brother, brothers",brother
"I have two ______, they are my mother's sisters.","aunts, aunt",aunts
"I have two aunts, they are my ______'s sisters.","mother, mothers",mother
"I have two aunts, they are my mother's ______.","sisters, sister",sisters
Your ______ came to visit us.,"nephew, nephews",nephew
My ______'s daughter is my niece.,"brother, brothers",brother
My brother's ______ is my niece.,"daughter, daughters",daughter
My brother's daughter is my ______.,"niece, nieces",niece
My ______ lives in Canada.,"cousin, cousins",cousin
He has two ______.,"cousins, cousin",cousins
The ______ of my aunt is my first cousin.,"son, sons",son
The son of my ______ is my first cousin.,"aunt, aunts",aunt
The son of my aunt is my first ______.,"cousin, cousins",cousin
The ______ of my uncle if my first cousin.,"daughter, daughters",daughter
The daughter of my ______ if my first cousin.,"uncle, uncles",uncle
The daughter of my uncle if my first ______.,"cousin, cousins",cousin
______ of first cousins are second cousins.,"Children, Childrens",Children
Children of first ______ are second ______.,"cousins, cousin",cousins
Children of first ______ are second ______.,"cousins, cousin",cousins
We will celebrate my ______ 100th birthday tomorrow.,"grandfather, grandfathers",grandfather
We will celebrate my grandfather 100th ______ tomorrow.,"birthday, birthdays",birthday
We will celebrate my grandfather 100th birthday ______.,"tomorrow, tomorrows",tomorrow
I have to go to my ______'s burial.,"grandmother, grandmothers",grandmother
I have to go to my grandmother's ______.,"burial, burials",burial
My ______ has three grandsons.,"grandfather, grandfathers",grandfather
My grandfather has three ______.,"grandsons, grandson",grandsons
"Once more, he forgot his ______'s birthday.","granddaughter, granddaughters",granddaughter
"Once more, he forgot his granddaughter's ______.","birthday, birthdays",birthday
He introduced his ______ to his parents.,"girlfriend, girlfriends",girlfriend
He introduced his girlfriend to his ______.,"parents, parent",parents
She has no ______.,"boyfriend, boyfriends",boyfriend
It is their ______ anniversary soon.,"wedding, weddings",wedding
It is their wedding ______ soon.,"anniversary, anniversaries",anniversary
He has been married for five ______.,"years, year",years
She is married to a ______.,"doctor, doctors",doctor
The ______ was done out of court.,"divorce, divorces",divorce
The divorce was done out of ______.,"court, courts",court
He attended his ______'s burial.,"grandfather, grandfathers",grandfather
He attended his grandfather's ______.,"burial, burials",burial
He always forgets his ______'s birthdays.,"children, childrens",children
He always forgets his children's ______.,"birthdays, birthday",birthdays
The ______ is scheduled for next month.,"birth, births",birth
The birth is scheduled for next ______.,"month, months",month
They did not manage to have ______.,"children, childrens",children
"He is only one, he still is a ______.","baby, babies",baby
His ______ live together.,"parents, parent",parents
They split up after 20 ______ of marriage.,"years, year",years
They split up after 20 years of ______.,"marriage, marriages",marriage
They divorced after their last ______ left.,"child, children",child
His ______ are divorced.,"parents, parent",parents
"I celebrated Christmas with my ______, like every year.","family, families",family
"I celebrated Christmas with my family, like every ______.","year, years",year
I am going to spend New Year's Eve with some ______.,"friends, friend",friends
______ gather during the holiday season.,"Families, Familieses",Families
Families gather during the ______ season.,"holiday, holidays",holiday
Families gather during the holiday ______.,"season, seasons",season
They live together but they are not in ______.,"love, loves",love
They have been together for two ______.,"years, year",years
It is a ______ of life and death.,"matter, matters",matter
It is a matter of ______ and death.,"life, lives",life
It is a matter of life and ______.,"death, deaths",death
He has been broken by his ______'s death.,"father, fathers",father
He has been broken by his father's ______.,"death, deaths",death
One has to enjoy one's ______.,"youth, youths",youth
The first ______ of old age have appeared.,"signs, sign",signs
The first signs of old ______ have appeared.,"age, ages",age
The ______ is a common illness.,"flu, flus",flu
The flu is a common ______.,"illness, illnesses",illness
You cannot forget ______ friends.,"childhood, childhoods",childhood
You cannot forget childhood ______.,"friends, friend",friends
Teenagehood is a tough ______.,"period, periods",period
He is faithful to his ______.,"wife, wives",wife
He finally grew tired of her ______.,"infidelity, infidelities",infidelity
He cheats on his ______ very often.,"wife, wives",wife
______ tend to marry later and later.,"Women, Womens",Women
______ are more afraid of commitment than women.,"Men, Mens",Men
Men are more afraid of ______ than women.,"commitment, commitments",commitment
Men are more afraid of commitment than ______.,"women, womens",women
I received a ______ as an inheritance.,"castle, castles",castle
I received a castle as an ______.,"inheritance, inheritances",inheritance
I wrote my ______ before going on holidays.,"will, wills",will
I wrote my will before going on ______.,"holidays, holiday",holidays
I am going to the ______ to sign the remaining papers.,"notary, notaries",notary
I am going to the notary to sign the remaining ______.,"papers, paper",papers
The ______ are under the Christmas tree.,"presents, present",presents
The presents are under the Christmas ______.,"tree, trees",tree
______ prices fluctuate a lot these years.,"Food, Foods",Food
Food ______ fluctuate a lot these years.,"prices, price",prices
Food prices fluctuate a ______ these years.,"lot, lots",lot
I do not like canned ______.,"food, foods",food
There is a ______ packet left.,"biscuit, biscuits",biscuit
There is a biscuit ______ left.,"packet, packets",packet
His ______ is baking a chocolate cake.,"mother, mothers",mother
His mother is baking a ______ cake.,"chocolate, chocolates",chocolate
His mother is baking a chocolate ______.,"cake, cakes",cake
You have to ______ potatoes to make ______ed potatoes.,"mash, mashes",mash
You have to mash ______ to make mashed ______.,"potatoes, potatoe",potatoes
You have to mash ______ to make mashed ______.,"potatoes, potatoe",potatoes
Could you give me a ______ of bread?,"slice, slices",slice
Could you give me a slice of ______?,"bread, breads",bread
I cry every ______ I cut onions.,"time, times",time
I cry every time I cut ______.,"onions, onion",onions
There are some dried ______ left.,"tomatoes, tomatoe",tomatoes
The ______ ate half of the flour packet.,"mouse, mice",mouse
The mouse ate ______ of the flour packet.,"half, halves",half
The mouse ate half of the ______ packet.,"flour, flours",flour
There are two ______ of garlic in the refrigerator.,"cloves, clove",cloves
There are two cloves of ______ in the refrigerator.,"garlic, garlics",garlic
There are two cloves of garlic in the ______.,"refrigerator, refrigerators",refrigerator
